Flag Word,Reference category,Possible Rating,Extra Comments
affluence,Financial,R1,
poor,Financial,R2,potentially embarrasing
emerging,Financial,R2,potentially embarrasing
payment,Financial,R1,
liability,Financial,R2,potentially embarrasing
financial,Financial,R1,
luxury,Financial,R1,
affluent,Financial,R1,
APR,Financial,R1,
equity,Financial,R1,
borrower,Financial,R1,
luxury,Financial,R1,
bill,Financial,R1,
risk,Financial,R1,
voting,Political,R1,
voter,Political,R1,
politic,Political,R1,
donor,Political,R1,
volunteer,Political,R1,
donation,Political,R1,
democratic,Political,R1,
republican,Political,R1,
charitable,Political,R1,
religion,Political,R1,
congress,Political,R1,
district,Political,R1,
vaccine,Sensitive/Health/Kids,R2,
adult,Sensitive/Health/Kids,R2,
Abortion,Sensitive/Health/Kids,R2,
dating,Sensitive/Health/Kids,R2,
Prenatal,Sensitive/Health/Kids,R2,
OTC,Sensitive/Health/Kids,R2,
Health,Sensitive/Health/Kids,R2,
Prescription,Sensitive/Health/Kids,R2,
Diagnosis ,Sensitive/Health/Kids,R2,
Therapy,Sensitive/Health/Kids,R2,
Medical,Sensitive/Health/Kids,R2,
Medicine,Sensitive/Health/Kids,R2,
disease,Sensitive/Health/Kids,R2,
parent,Sensitive/Health/Kids,R2,
contraceptive,Sensitive/Health/Kids,R2,
kids,Sensitive/Health/Kids,R2,
family,Sensitive/Health/Kids,R2,
baby,Sensitive/Health/Kids,R2,
pregnancy,Sensitive/Health/Kids,R2,
wellness,Sensitive/Health/Kids,R2,
doctor,Sensitive/Health/Kids,R2,
surgeon,Sensitive/Health/Kids,R2,
drug,Sensitive/Health/Kids,R2,
Mother,Sensitive/Health/Kids,R2,
Father,Sensitive/Health/Kids,R2,
romance,Sensitive/Health/Kids,R2,
LGBT,Sensitive/Health/Kids,R2,
rehab,Sensitive/Health/Kids,R2,
disability,Sensitive/Health/Kids,R2,
cancer,Sensitive/Health/Kids,R2,
contact,Sensitive/Health/Kids,R2,
birth,Sensitive/Health/Kids,R2,
child,Sensitive/Health/Kids,R2,
Treatment,Sensitive/Health/Kids,R2,
pregnant,Sensitive/Health/Kids,R2,
biotic,Sensitive/Health/Kids,R2,
dob,Sensitive/Health/Kids,R2,
heart,Sensitive/Health/Kids,R2,
Asthma ,Sensitive/Health/Kids,R2,Crossix specific segs
Atrial Fibrillation,Sensitive/Health/Kids,R2,Crossix specific segs
COPD,Sensitive/Health/Kids,R2,Crossix specific segs
High Cholesterol,Sensitive/Health/Kids,R2,Crossix specific segs
Diabetes,Sensitive/Health/Kids,R2,Crossix specific segs
Hypertension,Sensitive/Health/Kids,R2,Crossix specific segs
Rheumatoid Arthritis,Sensitive/Health/Kids,R2,Crossix specific segs
Multiple Sclerosis,Sensitive/Health/Kids,R2,Crossix specific segs
Smoking Cessation,Sensitive/Health/Kids,R2,Crossix specific segs
Overactive Bladder,Sensitive/Health/Kids,R2,Crossix specific segs
Insomnia,Sensitive/Health/Kids,R2,Crossix specific segs
Depression,Sensitive/Health/Kids,R2,Crossix specific segs
Psoriasis,Sensitive/Health/Kids,R2,Crossix specific segs
Acid Reflux,Sensitive/Health/Kids,R2,Crossix specific segs
Acne,Sensitive/Health/Kids,R2,Crossix specific segs
Allergy,Sensitive/Health/Kids,R2,Crossix specific segs
Anaphylaxis,Sensitive/Health/Kids,R2,Crossix specific segs
Diabetes,Sensitive/Health/Kids,R2,Crossix specific segs
Dry Eye,Sensitive/Health/Kids,R2,Crossix specific segs
Treatment,Sensitive/Health/Kids,R2,Crossix specific segs
Flu,Sensitive/Health/Kids,R2,Crossix specific segs
Migraines,Sensitive/Health/Kids,R2,Crossix specific segs
Osteoporosis,Sensitive/Health/Kids,R2,Crossix specific segs
Obesity,Sensitive/Health/Kids,R2,Crossix specific segs
Osteoarthritis,Sensitive/Health/Kids,R2,Crossix specific segs
Menopause,Sensitive/Health/Kids,R2,Crossix specific segs
Gout,Sensitive/Health/Kids,R2,Crossix specific segs
Constipation,Sensitive/Health/Kids,R2,Crossix specific segs
DVT,Sensitive/Health/Kids,R2,Crossix specific segs
Epipen,Sensitive/Health/Kids,R2,Crossix specific segs
IBS,Sensitive/Health/Kids,R2,Crossix specific segs
Artificial Tears,Sensitive/Health/Kids,R2,Crossix specific segs
Angina,Sensitive/Health/Kids,R2,Crossix specific segs
Celebrex,Sensitive/Health/Kids,R2,Crossix specific segs
Chantix,Sensitive/Health/Kids,R2,Crossix specific segs
Eliquis,Sensitive/Health/Kids,R2,Crossix specific segs
Enbrel,Sensitive/Health/Kids,R2,Crossix specific segs
Lyrica,Sensitive/Health/Kids,R2,Crossix specific segs
Lyrica,Sensitive/Health/Kids,R2,Crossix specific segs
Pristiq,Sensitive/Health/Kids,R2,Crossix specific segs
Xarelto,Sensitive/Health/Kids,R2,Crossix specific segs
Abilify,Sensitive/Health/Kids,R2,Crossix specific segs
Spiriva,Sensitive/Health/Kids,R2,Crossix specific segs
Tamiflu,Sensitive/Health/Kids,R2,Crossix specific segs
Hypothyroidism,Sensitive/Health/Kids,R2,Crossix specific segs
Invokana,Sensitive/Health/Kids,R2,Crossix specific segs
Lunesta,Sensitive/Health/Kids,R2,Crossix specific segs
Myrbetriq,Sensitive/Health/Kids,R2,Crossix specific segs
Nexium,Sensitive/Health/Kids,R2,Crossix specific segs
Pradaxa,Sensitive/Health/Kids,R2,Crossix specific segs
Ambien,Sensitive/Health/Kids,R2,Crossix specific segs
Belviq,Sensitive/Health/Kids,R2,Crossix specific segs
Breo Ellipta,Sensitive/Health/Kids,R2,Crossix specific segs
Crestor,Sensitive/Health/Kids,R2,Crossix specific segs
Farxiga,Sensitive/Health/Kids,R2,Crossix specific segs
Humira RA,Sensitive/Health/Kids,R2,Crossix specific segs
Jardiance,Sensitive/Health/Kids,R2,Crossix specific segs
Levemir,Sensitive/Health/Kids,R2,Crossix specific segs
Multaq,Sensitive/Health/Kids,R2,Crossix specific segs
Restasis,Sensitive/Health/Kids,R2,Crossix specific segs
Symbicort,Sensitive/Health/Kids,R2,Crossix specific segs
Victoza,Sensitive/Health/Kids,R2,Crossix specific segs
Amitiza,Sensitive/Health/Kids,R2,Crossix specific segs
Brintellix,Sensitive/Health/Kids,R2,Crossix specific segs
Premarin,Sensitive/Health/Kids,R2,Crossix specific segs
Dulera,Sensitive/Health/Kids,R2,Crossix specific segs
Epipen,Sensitive/Health/Kids,R2,Crossix specific segs
Januvia,Sensitive/Health/Kids,R2,Crossix specific segs
Jublia,Sensitive/Health/Kids,R2,Crossix specific segs
Levemir,Sensitive/Health/Kids,R2,Crossix specific segs
NuvaRing,Sensitive/Health/Kids,R2,Crossix specific segs
Pneumovax,Sensitive/Health/Kids,R2,Crossix specific segs
Prolia,Sensitive/Health/Kids,R2,Crossix specific segs
Glaucoma,Sensitive/Health/Kids,R2,Crossix specific segs
Zostavax,Sensitive/Health/Kids,R2,Crossix specific segs
Pain,Sensitive/Health/Kids,R2,Crossix specific segs
DMARDs,Sensitive/Health/Kids,R2,Crossix specific segs
Metastatic Melanoma,Sensitive/Health/Kids,R2,Crossix specific segs
Belsomra,Sensitive/Health/Kids,R2,Crossix specific segs
Flonase,Sensitive/Health/Kids,R2,Crossix specific segs
Ankylosing Spondylitis ,Sensitive/Health/Kids,R2,Crossix specific segs
Celiac Disease ,Sensitive/Health/Kids,R2,Crossix specific segs
Daliresp ,Sensitive/Health/Kids,R2,Crossix specific segs
Heavy Prescription Filler ,Sensitive/Health/Kids,R2,Crossix specific segs
Hidradenitis Suppurativa ,Sensitive/Health/Kids,R2,Crossix specific segs
Psoriatic Arthritis ,Sensitive/Health/Kids,R2,Crossix specific segs
Proair HFA ,Sensitive/Health/Kids,R2,Crossix specific segs
Epiduo ,Sensitive/Health/Kids,R2,Crossix specific segs
Brisdelle ,Sensitive/Health/Kids,R2,Crossix specific segs
Auvi-Q ,Sensitive/Health/Kids,R2,Crossix specific segs
Xeljanz ,Sensitive/Health/Kids,R2,Crossix specific segs
Praluent ,Sensitive/Health/Kids,R2,Crossix specific segs
Skyla ,Sensitive/Health/Kids,R2,Crossix specific segs
Ulcerative Colitis ,Sensitive/Health/Kids,R2,Crossix specific segs
Rosacea ,Sensitive/Health/Kids,R2,Crossix specific segs
Kerydin ,Sensitive/Health/Kids,R2,Crossix specific segs
Creon ,Sensitive/Health/Kids,R2,Crossix specific segs
Glucagon ,Sensitive/Health/Kids,R2,Crossix specific segs
Humalog ,Sensitive/Health/Kids,R2,Crossix specific segs
Trulicity ,Sensitive/Health/Kids,R2,Crossix specific segs
Exocrine Pancreatic Insufficency ,Sensitive/Health/Kids,R2,Crossix specific segs
Multiple Myeloma ,Sensitive/Health/Kids,R2,Crossix specific segs
Colonoscopy ,Sensitive/Health/Kids,R2,Crossix specific segs
Sinusitis ,Sensitive/Health/Kids,R2,Crossix specific segs
Tubal Ligation ,Sensitive/Health/Kids,R2,Crossix specific segs
Mucinex ,Sensitive/Health/Kids,R2,Crossix specific segs
Nasonex ,Sensitive/Health/Kids,R2,Crossix specific segs
Movantik ,Sensitive/Health/Kids,R2,Crossix specific segs
Uloric ,Sensitive/Health/Kids,R2,Crossix specific segs
Colcrys ,Sensitive/Health/Kids,R2,Crossix specific segs
Narcolepsy ,Sensitive/Health/Kids,R2,Crossix specific segs
Tinea ,Sensitive/Health/Kids,R2,Crossix specific segs
Hepatic Enephalopathy ,Sensitive/Health/Kids,R2,Crossix specific segs
Fibromyalgia ,Sensitive/Health/Kids,R2,Crossix specific segs
Eczema ,Sensitive/Health/Kids,R2,Crossix specific segs
Shingles ,Sensitive/Health/Kids,R2,Crossix specific segs
Brovana ,Sensitive/Health/Kids,R2,Crossix specific segs
Parkinson's,Sensitive/Health/Kids,R2,Crossix specific segs
Ulcerative Colitis,Sensitive/Health/Kids,R2,Crossix specific segs
Medicaid,Sensitive/Health/Kids,R2,Crossix specific segs
Osphena,Sensitive/Health/Kids,R2,Crossix specific segs
Prevnar,Sensitive/Health/Kids,R2,Crossix specific segs
Medicare,Sensitive/Health/Kids,R2,Crossix specific segs
Botox Chronic Migrane,Sensitive/Health/Kids,R2,Crossix specific segs
IUD ,Sensitive/Health/Kids,R2,Crossix specific segs
Beer,Sin goods/activities/naughty products,R2,
Liquor,Sin goods/activities/naughty products,R2,
Spirit,Sin goods/activities/naughty products,R2,
Tobacco,Sin goods/activities/naughty products,R2,
Bar,Sin goods/activities/naughty products,R2,
wine,Sin goods/activities/naughty products,R2,
club,Sin goods/activities/naughty products,R2,
gamble,Sin goods/activities/naughty products,R2,
casino,Sin goods/activities/naughty products,R2,
horse racing,Sin goods/activities/naughty products,R2,
smoke,Sin goods/activities/naughty products,R2,
smoking,Sin goods/activities/naughty products,R2,
gaming,Sin goods/activities/naughty products,R2,
betting,Sin goods/activities/naughty products,R2,
alcohol,Sin goods/activities/naughty products,R2,
cigar,Sin goods/activities/naughty products,R2,
gambling,Sin goods/activities/naughty products,R2,
vodka,Sin goods/activities/naughty products,R2,
tequila,Sin goods/activities/naughty products,R2,
cocktail,Sin goods/activities/naughty products,R2,
poker,Sin goods/activities/naughty products,R2,
mixology,Sin goods/activities/naughty products,R2,
slot machine,Sin goods/activities/naughty products,R2,
vegas,Sin goods/activities/naughty products,R2,
blackjack,Sin goods/activities/naughty products,R2,
gaming,Sin goods/activities/naughty products,R2,
drink,Sin goods/activities/naughty products,R2,
marijuana,Sin goods/activities/naughty products,R2,
booze,Sin goods/activities/naughty products,R2,
weed,Sin goods/activities/naughty products,R2,
Camel,Sin goods/activities/naughty products,R2,
Hennessy,Sin goods/activities/naughty products,R2,
Jim Beam,Sin goods/activities/naughty products,R2,
Smirnoff,Sin goods/activities/naughty products,R2,
Cialis,Sin goods/activities/naughty products,R2,
Jose Cuervo,Sin goods/activities/naughty products,R2,
Cymbalta,Sin goods/activities/naughty products,R2,
Ciroc,Sin goods/activities/naughty products,R2,
1800 Tequila,Sin goods/activities/naughty products,R2,
Captain Morgan,Sin goods/activities/naughty products,R2,
Marlboro,Sin goods/activities/naughty products,R2,
Corona,Sin goods/activities/naughty products,R2,
Budweiser,Sin goods/activities/naughty products,R2,
Jagermeister,Sin goods/activities/naughty products,R2,
Heineken,Sin goods/activities/naughty products,R2,
Skyy,Sin goods/activities/naughty products,R2,
Chivas Regal,Sin goods/activities/naughty products,R2,
Stella Artois,Sin goods/activities/naughty products,R2,
Tampax,Sin goods/activities/naughty products,R2,
Patron,Sin goods/activities/naughty products,R2,
Guinness,Sin goods/activities/naughty products,R2,
Trojan,Sin goods/activities/naughty products,R2,
Michelob,Sin goods/activities/naughty products,R2,
Dom Perignon,Sin goods/activities/naughty products,R2,
Yuengling,Sin goods/activities/naughty products,R2,
Remy Martin,Sin goods/activities/naughty products,R2,
Viagra,Sin goods/activities/naughty products,R2,
Chantix,Sin goods/activities/naughty products,R2,
Absolut Vodka,Sin goods/activities/naughty products,R2,
Johnnie Walker,Sin goods/activities/naughty products,R2,
Bacardi,Sin goods/activities/naughty products,R2,
Crown Royal,Sin goods/activities/naughty products,R2,
Samuel Adams,Sin goods/activities/naughty products,R2,
Playboy,Sin goods/activities/naughty products,R2,
Miller,Sin goods/activities/naughty products,R2,
Coors,Sin goods/activities/naughty products,R2,
Grey Goose,Sin goods/activities/naughty products,R2,
